 ##########################################

   Memory Reading Speed Test i686 i686 optimized Tue Mar 21 15:47:35 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   11992   4232   7187  13417   5732   7123   8008   5075   5753
      16    7918   4307   6621   8977   4904   6135   6815   4189   4559
      32    7232   4215   5559   7949   4805   5509   5861   3620   3815
      64    7191   4216   5596   7792   4654   5443   5929   3533   3779
     128    7140   4207   5574   7815   4728   5357   5953   3529   3790
     256    7105   4195   5505   7806   4715   5389   5962   3570   3783
     512    6048   3937   4886   6437   4396   4866   4404   3051   3175
    1024    3165   2672   2897   3234   2798   2894   1821   1593   1651
    2048    1324   1314   1299   1319   1294   1308    678    671    670
    4096    1304   1306   1289   1298   1266   1294    671    655    657
    8192    1328   1327   1291   1305   1303   1312    682    659    663

                End of test Tue Mar 21 15:47:52 2023

