    BusSpeed i686 i386 optimized Tue Mar 21 16:39:40 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1470   1349   1684   2451   2952   4289
      32   1663   1685   1789   2388   3002   4281
      64   1742   1744   1944   2274   3023   4390
     128   1806   1791   1801   2222   3002   4390
     256    123    221    447    781   1256   2198
     512     62    115    243    450    768   1482
    1024     61    114    241    450    767   1473
    4096     62    115    247    452    770   1458
   16384     62    115    248    452    771   1485
   65536     62    115    247    453    771   1486
