    BusSpeed i686 i686 optimized Tue Mar 21 16:40:23 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1472   1528   1734   2376   2952   4287
      32   1644   1721   1754   2355   2995   4358
      64   1741   1745   1801   2236   3002   4373
     128   1813   1799   1834   2306   3009   4385
     256    101    183    378    670   1094   2004
     512     61    115    246    444    769   1481
    1024     61    114    246    450    756   1452
    4096     61    115    247    451    770   1485
   16384     62    115    247    452    772   1489
   65536     62    115    248    445    771   1489
