 ##########################################

   Memory Reading Speed Test i686 i686 optimized Tue Mar 21 17:16:55 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7161   3445   4497   8318   3612   4433   4677   2343   2719
      16    5440   3176   3735   5873   3240   3840   3600   2094   2313
      32    5192   3057   3728   5925   3154   3834   3685   2103   2237
      64    5043   2933   3693   5860   3170   3743   3683   2082   2205
     128    4776   2851   3623   5643   3179   3115   3364   2070   2149
     256    1638   1521   1582   1654   1552   1554    838    799    807
     512    1029   1011   1016   1025   1011   1019    504    511    514
    1024    1003    989    992    998    992    995    500    498    499
    2048    1004   1011   1014   1019   1010   1015    512    503    509
    4096    1051   1030   1017   1047   1037   1041    527    524    515
    8192    1035   1020   1022   1034   1024   1025    520    517    516

                End of test Tue Mar 21 17:17:11 2023

