    BusSpeed loongarch64 loongarch64 optimized Sun Dec 11 00:21:43 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  12520  11556  13403  13658  13707  13729
      32  13825  12823  13441  13699  13731  13709
      64   9554   9374  13158  13277  13194  13470
     128   3930   3942   6532   9875   9979  11217
     256   3906   3943   6585   9895   9985  11276
     512   2138   2136   4993   8418   9487  11332
    1024   2147   2147   4980   8380   9459  11326
    4096   2150   2150   5014   8181   9758  11019
   16384    677    689   1373   3032   4786   7209
   65536    428    425    980   2419   4209   7447
