 ##########################################

   Memory Reading Speed Test loongarch64 loongarch64 optimized Thu Nov  9 14:15:31 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   50922  96938 100857  50672 100857 106543  34129  29507  29493
      16   50504  90822  91397  49949  96064  96877  34871  28350  28355
      32   48449  90060  86215  48645  93094  96289  24787  27866  27841
      64   47905  86617  85504  48144  87155  95674  35430  27596  27582
     128   26277  62381  58969  25551  58279  62212  12949  16483  16591
     256   25583  59580  59578  23211  58478  60809  13190  16596  16595
     512   28704  49088  42375  29116  46229  42442  12392  16248  16256
    1024   28748  48574  42025  29155  45550  42059  12446  16250  16250
    2048   28716  48961  42292  29097  45838  42097  12149  16250  16242
    4096   28615  49246  42424  29058  46098  42311  12293  16218  16236
    8192   28571  49712  42570  29000  46302  42489  12469  16250  16243

                End of test Thu Nov  9 14:15:46 2023

