    BusSpeed loongarch64 loongarch64 optimized Mon Dec 12 16:07:21 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  11036  10143  11760  12048  12049  12091
      32  12206  11278  11792  12078  12077  12063
      64   8409   8236  11604  11814  11717  11852
     128   3458   3469   5748   8690   8781   9917
     256   3452   3470   5794   8708   8787   9922
     512   1689   1678   3855   6189   7461   9852
    1024   1705   1693   3901   6262   7600   9859
    4096   1614   1615   3705   6171   7662   9824
   16384   1626   1627   3750   6213   7838  10089
   65536    405    408    807   1749   2890   4951
