 ##########################################

   Memory Reading Speed Test loongarch64 loongarch64 optimized Mon Dec 12 16:22:08 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   23853   4882   5274  23829  23192  23300  17244  13819  13341
      16   22708   4882   5274  23249  23328  23377  17415  13505  12823
      32   22214   4868   5260  22322  23393  23416  17493  13314  12875
      64   21941   4860   5252  22500  23416  23432  17538  13208  12979
     128   15026   4773   5013  16788  13395  17051  10048   7389   7787
     256   15007   4773   5015  16818  13398  17051  10051   7353   7476
     512   14715   4655   5106  15512  14523  17872  10083   7976   8122
    1024   14729   4659   5106  15429  14519  17825   9999   7976   8065
    2048   14768   4678   5111  15468  14524  18081   9979   7974   8091
    4096   14677   4683   5124  15448  14576  18175  10169   7971   8088
    8192   14388   4748   5146  15801  14616  18315  10268   7985   8086

                End of test Mon Dec 12 16:22:26 2022

