    BusSpeed e2k elbrus-v4 optimized Thu Jan 20 17:54:40 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  10651  10434  14100  15429  16519  17345
      32  14499  12096  14713  16730  16678  17427
      64  13705  10119  13371  17009  16807  17466
     128  10828   7063   6814   8157   9365  14057
     256  10163   6964   6954   8144   9519  14091
     512  10416   7042   7055   8149   9583  14103
    1024   4452   3153   4839   5321   7582   9996
    4096   2876   1938   3490   3592   5872   7028
   16384   2886   1938   3498   3585   5864   7000
   65536   1157    644   1176   1048   1882   2095
