    BusSpeed e2k elbrus-v4 optimized Thu Jan 20 17:56:12 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  10652  10434  14104  15435  16527  25385
      32  14506  12102  14713  16729  16679  26040
      64  13486  10190  13410  17022  16799  25856
     128  10835   7066   6747   8071   9379  16404
     256  10162   6967   6768   8221   9528  16445
     512   6877   4911   5909   7071   8752  14487
    1024   3963   2637   4225   4770   6855  10005
    4096   2926   1953   3387   3739   5755   7858
   16384   2959   1954   3387   3730   5751   7855
   65536   1176    641   1176   1047   1861   2225
