    BusSpeed e2k elbrus-v6 optimized Thu Jan 20 17:59:25 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  10651  11361  14104  15205  16526  25385
      32  14504  14104  13280  16460  17240  26038
      64  13232  11056  12495  16342  17334  25785
     128  11155   7201   6702   7966   9069  18801
     256  10167   6967   6338   7999   9098  18857
     512   9072   6230   6100   7602   8845  17920
    1024   4085   2902   4380   5069   6818  11848
    4096   2965   1900   3339   3637   5320   8324
   16384   2962   1898   3342   3628   5315   8292
   65536   1140    631   1241   1014   1881   2229
