    BusSpeed e2k elbrus-v6 optimized Thu Jan 20 18:00:36 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  10651  11362  14105  15205  16525  25384
      32  14503  14104  13280  16457  17241  26038
      64  13879  10971  12522  16340  17336  25784
     128  11058   7175   6762   7987   9069  18800
     256  10154   6967   6319   7976   9098  18853
     512   6694   4609   5561   6638   8183  15689
    1024   4391   2870   4398   4889   6763  11591
    4096   3048   1900   3375   3494   5372   8323
   16384   3039   1897   3378   3483   5365   8297
   65536   1156    636   1247   1015   1907   2286
