    BusSpeed e2k elbrus-v6 optimized Thu Jan 20 18:01:57 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  10651  11363  14105  15206  16527  25387
      32  14503  14105  13366  16460  17241  26043
      64  13462  11247  12477  16342  17334  25783
     128  11155   7170   6694   7971   9068  18800
     256  10157   6967   6432   7999   9099  18854
     512   9091   6284   6153   7648   8868  18043
    1024   4362   2983   4487   5025   6796  11956
    4096   3060   2002   3542   3691   5448   8806
   16384   3112   2003   3543   3688   5443   8778
   65536   1155    637   1248   1026   1926   2300
