    BusSpeed e2k elbrus-v6 optimized Thu Jan 20 18:02:18 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  10652  10434  14102  15435  16527  25384
      32  14505  12101  14712  16729  16677  26042
      64  13561  10195  13366  17022  16802  25855
     128  10922   7100   6829   8088   9445  16402
     256  10159   6966   6829   8266   9519  16446
     512   6775   5050   6053   7020   8754  14583
    1024   3818   2608   4318   4604   6909  10231
    4096   2940   1855   3386   3432   5671   7814
   16384   2982   1857   3374   3417   5662   7806
   65536   1133    634   1170   1016   1831   2148
