    BusSpeed e2k elbrus-v6 optimized Thu Jan 20 18:01:27 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  10650  11362  14104  15205  16527  25385
      32  14504  14104  13278  16460  17241  26041
      64  13549  11064  12517  16339  17336  25782
     128  11054   7211   6744   7986   9069  18800
     256  10158   6967   6393   7996   9098  18855
     512   9015   6270   6154   7632   8869  18039
    1024   4936   3515   4904   5651   7352  13418
    4096   3061   2002   3530   3691   5448   8804
   16384   3123   2002   3544   3687   5440   8772
   65536   1155    638   1249   1025   1910   2301
