 ##########################################

   Memory Reading Speed Test e2k elbrus-v3 optimized Thu Jan 20 22:16:13 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    8295  51580  29104   8391  52731  52734   4204  27172  27171
      16    8372  57048  30464   8411  57785  57788   4232  29372  29371
      32    8352  60279  31192   8389  60685  60693   4233  30607  30606
      64    8293  62041  31567   8336  62261  62263   4195  31268  31266
     128    3593  62970  31761   4722  63072  63077   4153  31605  31608
     256    3594  63425  31858   4722  63487  63485   2355  31781  31774
     512    2997  61730  31797   3752  61942  61952   2170  31623  31619
    1024    2092  54931  30944   2814  55084  55100   1650  30681  30684
    2048    1582  46376  29322   2522  46411  46417   1317  28679  28680
    4096    1554  45712  29281   2504  45725  45717   1311  29031  29030
    8192    1551  42342  27551   2497  42319  42332   1303  26859  26763

                End of test Thu Jan 20 22:16:28 2022

