 ##########################################

   Memory Reading Speed Test e2k elbrus-v4 optimized Thu Jan 20 22:19:00 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    8278  51552  29094   8389  52728  52712   4194  27172  27161
      16    8325  57089  30462   8373  57763  57783   4204  29359  29369
      32    8349  60276  31180   8389  60663  60673   4233  30598  30598
      64    8286  62029  31551   8329  62263  62235   4170  31269  31255
     128    3592  62962  31747   4720  63054  63075   4150  31591  31604
     256    3282  62833  31803   4218  62887  62892   2149  31747  31750
     512    2783  60593  31710   3563  60595  60622   1967  31567  31579
    1024    2132  55632  31211   2862  55713  55685   1626  30820  30824
    2048    1633  46855  30118   2581  46882  46869   1344  28416  28415
    4096    1609  46457  29806   2574  46484  46462   1342  28708  28705
    8192    1606  42758  27358   2563  42802  42742   1336  26665  26460

                End of test Thu Jan 20 22:19:14 2022

