 ##########################################

   Memory Reading Speed Test e2k elbrus-v5 optimized Thu Jan 20 22:22:45 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7384  51546  29104   8356  52728  52730   4115  27173  27172
      16    7376  57092  30462   8358  57788  57784   4182  29371  29369
      32    7407  60302  31191   8380  60695  60696   4220  30605  30610
      64    7363  62055  31569   8331  62260  62259   4194  31266  31264
     128    4396  62962  31757   4721  63073  63075   4150  31608  31608
     256    4339  61532  31669   4495  61577  61586   2363  31685  31687
     512    4327  61330  31678   4483  61394  61389   2363  31630  31635
    1024    4112  56129  30953   4239  56148  56143   2363  30910  30912
    2048    3917  47305  29193   3899  47307  47306   2363  28762  28762
    4096    3863  39574  26479   3798  39498  39332   2331  24950  24766
    8192    3905  42610  27718   3787  42576  42484   2346  26925  26785

                End of test Thu Jan 20 22:22:59 2022

