 ##########################################

   Memory Reading Speed Test e2k elbrus-v6 optimized Thu Jan 20 22:26:06 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   52207  53084  29865  53543  54160  53433  28329  27836  27837
      16   56259  57169  30875  57267  57575  56760  30032  29754  29749
      32   59758  60123  31404  60302  60465  60124  30963  30817  30816
      64   61756  61961  31678  62054  62137  61949  31452  31374  31372
     128   62813  62921  31813  62956  63015  62921  31699  31662  31662
     256   63345  63407  31884  63435  63448  63412  31827  31805  31809
     512   63079  63468  31818  62818  63492  63463  31886  31880  31881
    1024   57019  56773  31270  55357  56760  56749  31249  30969  30973
    2048   46441  46364  30018  46396  46377  46368  28888  28404  28410
    4096   46549  46049  29834  46490  46047  46048  28999  28595  28597
    8192   41398  41023  26755  41291  41059  41084  26257  26059  25988

                End of test Thu Jan 20 22:26:20 2022

