 ##########################################

   Memory Reading Speed Test e2k elbrus-v6 optimized Thu Jan 20 22:25:22 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7717  51557  29103   8356  52731  52730   4158  27174  27174
      16    8026  57087  30464   8393  57787  57787   4208  29370  29372
      32    8235  60296  31189   8380  60695  60686   4221  30610  30609
      64    8202  62036  31567   8329  62260  62259   4189  31268  31265
     128    3862  62966  31756   4720  63078  63075   4149  31604  31606
     256    3865  63439  31858   4723  63479  63486   2363  31775  31779
     512    3837  62584  31733   4627  62686  62693   2363  31679  31679
    1024    3779  57865  31432   4268  58104  58120   2363  31068  31073
    2048    3685  46035  29787   3660  46051  46043   2362  28218  28222
    4096    3693  46127  29792   3641  46132  46134   2363  28519  28517
    8192    3667  42657  27329   3639  42643  42684   2346  26339  26235

                End of test Thu Jan 20 22:25:36 2022

