 ##########################################

   Memory Reading Speed Test e2k elbrus-v6 optimized Thu Jan 20 22:27:49 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   52209  53082  29866  53648  54341  53441  28328  27837  27834
      16   56263  57158  30874  57269  57679  56762  30032  29754  29752
      32   59714  60127  31406  60280  60501  60123  30961  30814  30814
      64   61734  61959  31678  62048  62182  61956  31453  31375  31377
     128   62823  62915  31811  62965  63032  62914  31700  31662  31663
     256   62196  62260  31725  61637  62279  62241  31798  31753  31759
     512   61635  61477  31667  60484  61461  61450  31810  31706  31706
    1024   54421  54233  31085  53012  54231  54237  30903  30589  30593
    2048   46834  46729  30122  46763  46741  46736  29570  28806  28808
    4096   46443  45923  29924  46499  45926  45927  29622  28896  28898
    8192   41471  41030  26547  41402  40993  41064  26528  26102  26127

                End of test Thu Jan 20 22:28:03 2022

