 ##########################################

   Memory Reading Speed Test e2k elbrus-v6 optimized Thu Jan 20 22:28:32 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7384  51457  29095   8355  52711  52703   4158  27173  27163
      16    7386  57008  30451   8337  57785  57761   4207  29370  29367
      32    7425  60239  31190   8395  60674  60694   4220  30597  30608
      64    7371  62030  31558   8333  62232  62241   4193  31252  31255
     128    4397  62964  31750   4719  63076  63054   4149  31609  31596
     256    4397  63416  31855   4721  63463  63492   2363  31767  31769
     512    4338  62510  31809   4558  62557  62528   2363  31754  31745
    1024    4132  56286  31280   4271  56319  56347   2363  30772  30776
    2048    3901  46366  29790   3802  46391  46364   2362  28657  28670
    4096    3917  46555  29629   3777  46564  46557   2362  29055  29042
    8192    3878  42832  27355   3777  42806  42802   2346  26606  26520

                End of test Thu Jan 20 22:28:47 2022

