 ##########################################

   Memory Reading Speed Test e2k elbrus-v6 optimized Thu Jan 20 22:28:47 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7385  51493  29104   8354  52730  52730   4158  27172  27173
      16    7389  57074  30464   8340  57788  57777   4208  29371  29370
      32    7428  60324  31192   8398  60693  60693   4234  30608  30609
      64    7374  62046  31570   8332  62260  62253   4197  31268  31263
     128    4397  62957  31761   4721  63077  63077   4151  31607  31605
     256    4399  63422  31859   4724  63489  63486   2363  31780  31781
     512    4399  63666  31904   4724  63692  63693   2363  31866  31866
    1024    4147  57467  31157   4317  57549  57554   2363  31151  31155
    2048    3919  46036  29018   3817  46041  46046   2363  28722  28722
    4096    3941  46189  29142   3789  46194  46194   2363  29107  29108
    8192    3913  42536  27752   3779  42524  42399   2347  26974  26842

                End of test Thu Jan 20 22:29:01 2022

