 ##########################################

   Memory Reading Speed Test e2k elbrus-v6 optimized Thu Jan 20 22:29:16 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   53647  53434  29852  53679  54527  53435  28325  27834  27834
      16   52375  57368  30872  57265  57766  56755  30032  29746  29753
      32   60292  60345  31395  60314  60576  60111  30963  30814  30814
      64   62039  62075  31677  62025  62183  61957  31451  31370  31372
     128   62923  62975  31811  62956  63040  62910  31699  31659  31659
     256   61133  61769  31532  61153  61788  61686  31424  31352  31360
     512   59896  61287  31613  59884  61307  61314  31599  31526  31523
    1024   53729  55392  30956  53735  55417  55385  31172  30795  30791
    2048   46804  47122  29356  46802  47141  47138  29732  28926  28920
    4096   40884  40889  26626  40929  40977  40996  26166  25804  25811
    8192   41792  41527  26993  41810  41643  41650  26840  26549  26511

                End of test Thu Jan 20 22:29:30 2022

