 ##########################################

   Memory Reading Speed Test amd64 x86-64 optimized Fri Jan 21 01:15:41 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   11210  26042  26406  17183  18848  26571  16262  12297  12314
      16   11386  26999  27238  17464  19146  27300  16651  12846  12863
      32   11475  27613  27500  17592  19305  27520  16922  13228  13179
      64   11524  27850  27675  17672  19402  27724  17103  13431  13408
     128   11464  27859  27534   6730  14958  27554  17202  13512  13495
     256   11495  27943  27700   6728  14961  27709   8327  13475  13473
     512   11499  27862  27602   6724  14850  27582   8322  13533  13531
    1024   11507  27789  27594   6712  14674  27579   8290  13514  13512
    2048   11533  27586  27215   6699  14186  27415   8246  13450  13450
    4096   11434  27379  26942   6677  14142  27400   8117  13136  13135
    8192   11355  27189  27242   6662  13886  27249   8022  12949  12947

                End of test Fri Jan 21 01:15:59 2022

