 ##########################################

   Memory Reading Speed Test aarch64 cortex-a78 optimized Wed Jan 25 11:10:05 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   18766  14842  14792  60126  59705  59754  48560  40681  40663
      16   18708  14817  14797  60690  61092  61143  49580  41547  41283
      32   18760  14819  14800  55566  56200  56110  49771  41128  41097
      64   18736  14797  14738  55423  56183  56004  50247  41676  42100
     128   18741  14810  14809  33637  33843  33824  54928  46248  46714
     256   18735  14800  14796  33365  33551  33587  36697  31358  31290
     512   18739  14807  14803  33072  33363  33350  28284  15435  16371
    1024   18747  14805  14792  30589  29803  29813  19826  16525  16319
    2048   18728  14788  14787  28543  28798  28833  17383  16642  16573
    4096   18700  14760  14772  28201  28205  28244  12918  13250  13428
    8192   18023  14712  14693  19445  19456  19484   9365   9374   9388

                End of test Wed Jan 25 11:10:21 2023

