 ##########################################

   Memory Reading Speed Test aarch64 cortex-a76 optimized Tue Jan 24 20:06:48 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   60614  91020  93434  60750  93639  93627  50423  34182  34251
      16   60726  89945  91656  60499  91480  91588  50473  26400  26232
      32   56429  92228  92622  56882  92556  92521  50420  25125  27001
      64   56801  90588  93142  56002  93068  93137  51516  26413  25383
     128   33703  66232  66217  33473  66355  66334  52231  26626  25818
     256   33570  65908  65993  33352  66033  66026  37909  27082  25147
     512   33210  65371  65478  33069  65561  65437  28872  24219  23884
    1024   30130  60971  61013  29934  60884  60649  20069  19903  19882
    2048   27067  54774  54845  27279  54817  54823  16623  15373  15079
    4096   27103  54586  53916  27199  54047  54138  13711  13056  13149
    8192   19025  38178  38323  19019  38179  38140   9733   9670   9721

                End of test Tue Jan 24 20:07:03 2023

