 ##########################################

   Memory Reading Speed Test aarch64 native optimized Tue Jan 24 20:07:20 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   60336  93473  93466  59733  93632  93575  50222  34538  34422
      16   60681  91406  91488  59609  91684  91450  51037  30936  24986
      32   56568  91080  92699  56922  92620  92617  51860  31460  25762
      64   56804  93060  93205  56175  93245  93196  51542  34302  24858
     128   33741  66305  66367  33527  66430  66332  52348  35053  26981
     256   33645  66067  66111  33422  66154  66105  37803  32001  26069
     512   33227  65401  65640  33058  65672  65669  26204  25729  23165
    1024   31653  63143  63449  31646  63395  63435  20062  20034  19825
    2048   30254  61058  61201  30561  61164  61176  18178  17936  17953
    4096   29908  60317  60509  29872  60515  60480  14902  14699  14511
    8192   19390  38638  38658  19321  38730  38697   9805   9875   9857

                End of test Tue Jan 24 20:07:34 2023

