 ##########################################

   Memory Reading Speed Test aarch64 native optimized Wed Jan 25 08:01:01 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   35136  52698  46579  35116  59225  59097  25270  34892  34909
      16   35191  51745  45818  35096  58094  58119  25514  34241  34270
      32   34931  52126  46321  34807  56017  56082  25699  34700  34708
      64   35024  52417  46588  34927  56104  56356  24810  34903  34931
     128   26886  33418  33178  26890  33539  33510  25868  34998  35048
     256   26729  33265  32978  26782  33361  33378  25166  34561  34600
     512   26727  32880  32800  26753  33095  33119  24778  28488  28485
    1024   26753  31369  31527  26710  31058  31261  20018  20138  20159
    2048   26725  30161  30208  26750  30013  30031  17020  17482  16844
    4096   25788  28949  28991  25971  28863  29054  14346  14166  14576
    8192   19402  19427  19483  17768  19409  19404   9727   9778   9815

                End of test Wed Jan 25 08:01:17 2023

