 ##########################################

   Memory Reading Speed Test aarch64 native optimized Wed Jan 25 08:01:31 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   59479  92032  93438  60747  93855  93645  50433  34877  34882
      16   59713  91466  91821  60965  92520  92511  50800  34265  34235
      32   55603  92448  92646  56127  92632  92634  50974  34710  34697
      64   55548  92895  93163  55926  93253  93222  51153  34719  34829
     128   33403  66183  65986  33493  66151  66113  51043  35024  34983
     256   33373  65921  65666  33355  65804  65845  37685  34590  34597
     512   32833  64765  65015  32779  65251  65061  24026  23909  23905
    1024   31327  61486  62498  30097  62551  62483  19628  19825  19793
    2048   28997  57814  58207  28845  58013  58109  17445  17342  17240
    4096   27517  56010  56250  28068  56272  56150  14262  14109  13677
    8192   19229  38300  38522  19081  38393  34988   9692   9758   9531

                End of test Wed Jan 25 08:01:45 2023

