    BusSpeed aarch64 armv8-a+crc optimized Sat Sep 17 18:14:45 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7387   7661  15591  16154  16272  22406
      32   8088   8375  15899  16144  16324  22415
      64   4984   5398  11501  15291  15572  22471
     128   1970   2076   4178   6934   7924  12894
     256   2103   2174   4333   8346  11958  23118
     512   2041   2166   4312   8434  11865  22606
    1024   2071   2191   4350   8533  11943  22315
    4096   1602   1658   3212   6824  12055  19438
   16384   1192   1360   2644   5013   8068  19356
   65536    902   1216   2384   4636   9037  17848
