    BusSpeed aarch64 armv8-a+crc optimized Sat Sep 17 18:15:06 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7367   7667  15483  16147  16023  22330
      32   8070   8366  15890  16162  16190  22368
      64   5028   5408  11458  15396  15882  22157
     128   1986   2075   4137   6930   7481  12053
     256   2093   2167   4320   8333  11885  22393
     512   2051   2179   4327   8382  11934  22156
    1024   2071   2189   4343   8570  12200  22928
    4096   1635   1547   3123   6569  12023  22359
   16384   1260   1329   2624   5230   8096  15983
   65536    927   1240   2420   4670   9075  17764
