    BusSpeed aarch64 armv8-a optimized Sat Sep 17 18:15:56 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7416   7695  15755  16668  16968  22375
      32   8201   8405  16055  16793  16646  22235
      64   5156   5418  12650  15678  17246  22638
     128   1968   2084   4174   6963   8738  12757
     256   2111   2175   4324   8393  15400  22796
     512   2048   2180   4303   8428  15973  22455
    1024   2031   2189   4354   8528  15924  22322
    4096   1606   1649   3155   6783  12733  22417
   16384   1215   1294   2661   5187   9134  16743
   65536    911   1222   2370   4659   9250  18134
