    BusSpeed aarch64 armv8-a optimized Sat Sep 17 18:16:17 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7456   7694  15793  16752  16634  22931
      32   8181   8412  16146  16693  16646  23140
      64   5164   5524  12396  15800  17033  22734
     128   2024   2092   4149   6963   8921  12663
     256   2102   2173   4307   8295  15234  23304
     512   2045   2179   4335   8384  15798  22722
    1024   2025   2190   4321   8587  15938  22728
    4096   1617   1546   3072   6538  12739  20069
   16384   1257   1316   2650   5367   9451  20221
   65536    938   1216   2433   4735   9326  18355
