    BusSpeed aarch64 armv8-a optimized Sat Sep 17 18:16:37 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7391   7669  15311  16269  16028  22551
      32   8079   8383  15843  16151  16360  22551
      64   5028   5711  11540  15378  16127  22230
     128   2005   2078   4131   6930   8478  12288
     256   2109   2174   4320   8345  15258  22759
     512   2052   2179   4343   8379  15746  22208
    1024   2070   2191   4329   8590  15756  22476
    4096   1625   1539   3084   6567  12696  22361
   16384   1271   1407   2672   5253  10373  16094
   65536    939   1266   2437   4699   9309  18174
