    BusSpeed aarch64 armv8.2-a optimized Sat Sep 17 18:18:18 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7447   7694  15671  16753  16607  22943
      32   8182   8405  16096  16784  16613  23094
      64   5139   5534  12330  15678  17021  22751
     128   2027   2091   4176   6960   8900  12701
     256   2103   2173   4307   8344  15475  23548
     512   2043   2177   4320   8366  15777  22929
    1024   2003   2185   4345   8575  15926  22818
    4096   1623   1560   3201   6556  12790  22631
   16384   1257   1398   2648   5011   9161  16622
   65536    935   1261   2426   4719   9263  18630
