    BusSpeed aarch64 native optimized Sat Sep 17 18:18:59 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7465   7705  15675  16823  16427  22942
      32   8184   8428  16150  16701  16609  23089
      64   4488   4433  11145  15814  17243  22813
     128   1921   2007   4345   7312   8732  12044
     256   2057   2170   4331   8335  15392  23305
     512   1995   2184   4348   8390  15978  22875
    1024   2005   2190   4371   8598  15979  23071
    4096   1668   1558   3756   6613  12818  22747
   16384   1264   1327   2588   5081   9705  18084
   65536    938   1226   2410   4726   9260  18300
