MemTotal:       31746772 kB
MemFree:         1926776 kB
MemAvailable:   26520136 kB
Buffers:           89080 kB
Cached:         24131172 kB
SwapCached:            0 kB
Active:         11799012 kB
Inactive:       13982944 kB
Active(anon):       4880 kB
Inactive(anon):  1614020 kB
Active(file):   11794132 kB
Inactive(file): 12368924 kB
Unevictable:       18412 kB
Mlocked:              32 kB
SwapTotal:      15873376 kB
SwapFree:       15871840 kB
Dirty:                68 kB
Writeback:             0 kB
AnonPages:       1573960 kB
Mapped:           413828 kB
Shmem:             45280 kB
KReclaimable:     812888 kB
Slab:            1005304 kB
SReclaimable:     812888 kB
SUnreclaim:       192416 kB
KernelStack:       15168 kB
PageTables:        24048 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    31746760 kB
Committed_AS:    6150420 kB
VmallocTotal:   135290159040 kB
VmallocUsed:       98880 kB
VmallocChunk:          0 kB
Percpu:             5088 kB
HardwareCorrupted:     0 kB
AnonHugePages:    657408 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:          65536 kB
CmaFree:           16172 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
