 ##########################################

   Memory Reading Speed Test aarch64 armv8-a+crc optimized Sat Sep 17 20:14:25 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   57835  61500  95246  62894  79027  95365  33059  33055  33034
      16   61069  62591  98684  66086  82315  96550  32595  33668  33379
      32   63052  65471  98744  67759  81421  98654  33721  33517  33532
      64   65791  64951 101278  70514  87257 101225  35364  35324  35302
     128   17367  24413  42243  17578  41586  42189  11120  11923  11788
     256   31180  62790  62461  30731  62664  62827  15731  15438  15615
     512   32146  64563  63526  32000  63631  62691  16118  16042  16041
    1024   32506  62278  63960  32391  65479  64272  16184  16223  16230
    2048   32160  60313  65081  32013  63855  65164  16011  16025  16010
    4096   30300  57491  60475  30312  57621  60864  15265  13735  13714
    8192   26265  47463  52919  26184  50019  52609  12754  12272  12162

                End of test Sat Sep 17 20:14:40 2022

