 ##########################################

   Memory Reading Speed Test aarch64 armv8-a+crc optimized Sat Sep 17 20:14:40 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   58670  57872  95231  63041  85352  95317  32986  33033  32982
      16   61642  62721  98731  66104  88738  98723  32673  33462  32989
      32   64681  62691  97557  67730  89084  98796  33770  33539  33490
      64   63760  66800  99381  70583  92795 101269  35370  35337  35307
     128   17436  24494  42266  17548  43409  42638  10993  11733  11831
     256   31194  62914  63151  30827  64059  63265  15671  15670  15661
     512   32633  62078  63423  32535  64324  62914  16283  16104  16286
    1024   30945  64663  64038  32568  65209  64001  16280  16301  16303
    2048   31036  63845  65498  32282  65514  65536  16149  16090  16095
    4096   30566  62218  59235  30850  58598  59251  15485  13889  13882
    8192   26362  49436  51049  26361  50549  51291  12754  12349  12385

                End of test Sat Sep 17 20:14:55 2022

