 ##########################################

   Memory Reading Speed Test aarch64 armv8-a optimized Sat Sep 17 20:15:42 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   57888  60786  93974  62574  84797  95420  33543  32677  33192
      16   60779  63407  97246  66690  88928  98192  33084  33972  33296
      32   64183  66677  98129  68858  89850  97319  33907  34515  35087
      64   64098  64264 100463  69681  94684 101869  35452  34925  34186
     128   17441  24765  41186  17832  42759  41060  11239  11887  11905
     256   31269  64596  64036  31262  63970  63233  15788  15766  15859
     512   32634  66784  65350  32530  64378  64514  16054  16286  16104
    1024   31659  62975  64522  31467  67109  65278  16177  15765  15802
    2048   30794  63421  62879  31128  66336  62188  15658  15524  15615
    4096   30163  59689  59155  29966  63014  59530  15370  13769  13941
    8192   26340  49475  51736  26579  52153  51588  12965  12415  12308

                End of test Sat Sep 17 20:15:57 2022

