 ##########################################

   Memory Reading Speed Test aarch64 armv8-a optimized Sat Sep 17 20:16:28 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   58338  58902  94054  63008  86162  94015  33413  33145  32971
      16   61798  62334  97336  65974  88191  97405  32688  34031  33542
      32   64080  63507  98066  68856  89171  97344  34037  34317  34564
      64   65882  66904 101658  69768  94731 101513  34997  34789  34444
     128   17416  24959  41155  17829  43261  41971  11213  11841  12031
     256   31662  64490  63489  31662  63518  63845  15835  15761  15667
     512   32178  61654  65693  32528  64570  63695  16143  16286  16283
    1024   32658  64489  65344  31426  67119  65186  16069  15845  15675
    2048   32392  60719  62411  31054  64324  65577  15736  15606  15536
    4096   30739  58519  58595  29795  58396  61722  15176  13648  13706
    8192   26215  46856  51358  26431  49501  52897  12938  12634  12493

                End of test Sat Sep 17 20:16:42 2022

