 ##########################################

   Memory Reading Speed Test aarch64 armv8.1-a optimized Sat Sep 17 20:17:59 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   58697  59296  95590  62795  81961  94670  33751  33160  32728
      16   61787  62775  99094  66197  81238  98187  33358  34588  33468
      32   63259  62725  98168  68578  82899  97395  34497  33615  34800
      64   65886  67023 101515  69757  87538 101510  35485  35413  35172
     128   17445  25108  42340  17649  41225  42380  11106  11954  11954
     256   31231  64035  63083  31642  64313  63231  15895  15671  15465
     512   32004  61872  63674  31765  64944  63660  16219  16003  16046
    1024   32200  64611  64258  31471  66917  65118  16289  16298  16119
    2048   31301  62650  65508  31249  66150  65544  16116  16083  15428
    4096   29507  59837  58217  30775  62285  59228  15492  13959  13271
    8192   26466  46434  50366  25384  51909  50320  12750  12507  12372

                End of test Sat Sep 17 20:18:14 2022

