 ##########################################

   Memory Reading Speed Test aarch64 armv8.2-a optimized Sat Sep 17 20:18:43 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   35078  39743  47794  43565  47648  52136  21681  32875  32919
      16   35846  41095  48914  44034  48861  53621  22488  33646  33379
      32   37045  41940  49552  45498  49596  53734  23027  33560  33403
      64   38031  43524  51519  46584  51545  56627  23697  35334  35300
     128   16429  17130  20740  18168  21645  22045  10779  11790  11917
     256   31524  31475  31184  31317  31698  30877  16289  15407  15446
     512   33277  33402  32151  32805  32260  32120  16606  15730  16009
    1024   31640  31989  32558  32797  33104  32585  16764  16215  16234
    2048   31146  31181  31210  32390  32727  32188  14262  16052  16018
    4096   25837  29903  29702  27248  31085  30755  11370  13711  13762
    8192   25069  26522  25544  24714  26755  26877  10653  12170  12478

                End of test Sat Sep 17 20:18:59 2022

