 ##########################################

   Memory Reading Speed Test aarch64 native optimized Sat Sep 17 20:20:30 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   35623  37253  47979  43811  47823  52346  21854  32884  32995
      16   36343  38720  49458  44447  49010  54735  22495  33514  33515
      32   37165  39176  50194  45638  50092  53939  23074  33612  33859
      64   38180  40063  51734  47429  51711  56809  23756  35426  35433
     128   16631  19698  20772  18114  21573  22121  10866  11828  11751
     256   31223  31594  31659  31480  31807  31317  16224  15675  15664
     512   33436  33465  32655  32932  32795  32476  16852  16099  16283
    1024   31403  32281  33101  32902  33277  32732  16819  16294  16293
    2048   31653  31608  32867  32648  33024  32468  14433  16168  16170
    4096   27226  29990  30938  27282  31058  30726  11380  13695  13767
    8192   24263  26516  26446  24214  26370  26531  10662  12388  12382

                End of test Sat Sep 17 20:20:46 2022

