    BusSpeed aarch64 armv8-a optimized Sat Sep 17 12:19:13 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7445   7692  15445  16660  16589  23164
      32   8165   8407  16004  16603  16610  22689
      64   5149   5755  12421  15927  17029  22949
     128   2021   2087   4154   6956   8750  12721
     256   2100   2172   4307   8338  15239  23551
     512   1989   2177   4314   8386  15799  23028
    1024   2005   2183   4330   8572  15930  22768
    4096   1632   1536   3074   6583  12776  22494
   16384   1265   1388   2642   5137   9385  16672
   65536    922   1254   2419   4652   9222  18397
