    BusSpeed aarch64 armv8-a optimized Sat Sep 17 12:19:53 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7421   7694  15758  16758  16646  22370
      32   8169   8422  16136  16623  16646  22649
      64   5168   5517  12371  15970  17030  22444
     128   1995   2087   4168   6964   8769  12866
     256   2110   2175   4303   8345  15249  23125
     512   2045   2179   4317   8423  15801  22086
    1024   2034   2192   4341   8588  15945  22048
    4096   1623   1539   3151   6557  12748  22754
   16384   1251   1407   2650   5242   9485  19310
   65536    940   1257   2433   4703   9235  18347
