    BusSpeed aarch64 armv8.2-a optimized Sat Sep 17 12:21:14 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7448   7686  15682  16749  16609  22721
      32   8168   8420  16007  16647  16621  22893
      64   5165   5527  12554  16003  17023  23215
     128   2010   2092   4160   6961   8802  12981
     256   2103   2174   4306   8333  15376  23042
     512   2045   2179   4333   8423  15801  22710
    1024   2001   2183   4315   8580  15941  22794
    4096   1618   1542   3076   6563  12742  22636
   16384   1255   1325   2604   5389   9473  16652
   65536    933   1224   2407   4695   9280  18348
