    BusSpeed aarch64 armv8.2-a optimized Sat Sep 17 12:21:45 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7413   7641  15601  16644  16518  22787
      32   8134   8380  15950  16727  16740  22974
      64   5144   5711  11959  15617  17020  22987
     128   2016   2091   4168   6858   8745  12049
     256   2103   2173   4304   8335  15203  23039
     512   2045   2179   4303   8423  15968  22885
    1024   2036   2192   4340   8586  15952  22768
    4096   1614   1541   3138   6563  12728  22759
   16384   1261   1363   2652   5144  10117  16749
   65536    938   1229   2440   4717   9258  18289
