    BusSpeed aarch64 native optimized Sat Sep 17 12:22:25 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7447   7701  15672  16660  16616  22927
      32   8160   8409  16137  16881  16621  23095
      64   5158   5402  12332  15781  17028  22960
     128   2025   2088   4174   6857   8940  12627
     256   2108   2173   4300   8361  15372  23307
     512   2044   2179   4318   8405  15776  22897
    1024   2013   2187   4342   8576  15904  22673
    4096   1628   1541   3055   6469  12662  22689
   16384   1249   1384   2640   5210   9030  16472
   65536    934   1246   2418   4728   9064  18143
