 ##########################################

   Memory Reading Speed Test aarch64 armv8-a+crc optimized Sat Sep 17 14:16:25 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   58980  57324  95670  63266  80247  95436  33128  33319  33113
      16   61952  58984  99027  66376  81463  99049  32715  33567  33570
      32   65139  60319  98984  67997  83177  98769  33865  33601  33603
      64   64014  63291 101581  70844  87660 101534  35475  35421  35432
     128   17353  23197  42396  17679  42359  42321  11042  11870  11813
     256   31356  60679  62691  31263  63028  62702  15831  15664  15648
     512   32256  59345  62958  32162  63174  62933  16142  16099  15910
    1024   31086  61462  64404  31738  65917  64544  16284  16304  16109
    2048   31069  60649  65519  30871  66272  65525  16137  16127  15384
    4096   30456  60051  58636  29575  62047  61354  15358  13979  13367
    8192   26238  48156  51090  26943  53201  53744  12906  12434  12521

                End of test Sat Sep 17 14:16:40 2022

