 ##########################################

   Memory Reading Speed Test aarch64 armv8-a optimized Sat Sep 17 14:18:42 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   57383  58101  95631  63123  85484  95497  33369  33375  33185
      16   61679  62843  98217  66225  88922  97455  32716  34060  34135
      32   64121  62779  97322  67904  87729  97378  34198  34243  33882
      64   65003  67044 101503  70849  94763 101523  35475  35438  35440
     128   17377  24759  42389  17823  43257  41942  11008  11952  11894
     256   30966  63037  62716  31518  63118  63510  15720  15660  15474
     512   32653  61965  62905  32353  63805  63847  16143  16016  16294
    1024   32027  64719  64967  32584  67157  64578  16287  16127  16300
    2048   30823  64299  65513  32275  66468  65435  16146  15445  16116
    4096   29957  62167  62102  31038  62677  62039  15581  13363  14015
    8192   26425  49181  52714  26479  52710  52779  12907  12553  12352

                End of test Sat Sep 17 14:18:57 2022

