 ##########################################

   Memory Reading Speed Test aarch64 armv8.1-a optimized Sat Sep 17 14:20:14 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   57945  61759  95620  63002  79183  95604  33307  33029  33132
      16   61168  62221  98965  67193  82514  99154  32834  33506  33498
      32   63236  65678  99037  67556  81586  99064  33909  33631  33630
      64   65888  65076 101608  70761  87530 101538  35473  35421  35444
     128   17424  24497  42324  17711  41610  42255  11043  11817  11895
     256   30866  63546  63535  30924  62788  63449  15795  15517  15652
     512   32194  64865  63482  32154  62989  63443  16284  16097  16098
    1024   32653  62806  63678  32543  66669  63574  16278  16291  16299
    2048   32407  60699  65564  32296  66149  65657  16160  16126  16135
    4096   30641  58967  61447  30638  61529  58851  15357  13840  13830
    8192   26003  47617  52284  26498  52502  51070  12629  12374  12219

                End of test Sat Sep 17 14:20:28 2022

