    BusSpeed aarch64 cortexa76 optimized Sun Oct 23 00:02:26 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1227   1673   2760   3462   3681   4418
      32   1265   1676   2726   3465   3677   4430
      64    978   1296   2235   3189   3458   4221
     128    911   1241   2153   3086   3383   4146
     256    912   1235   2156   3068   3379   4147
     512    917   1244   2159   3066   3379   4148
    1024    917   1243   2162   3063   3379   4149
    4096    430    669   1330   2056   3116   4029
   16384    320    346    708   1189   2187   2257
   65536    322    340    705   1189   2185   1717
