    BusSpeed aarch64 cortexa76 optimized Sun Oct 23 00:02:36 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   6188   4321   4756   4834   4848   5329
      32   4432   3659   4160   4666   4704   5239
      64    890   1242   2214   3129   3410   4159
     128    911   1246   2145   3086   3398   4150
     256    911   1246   2156   3082   3396   4150
     512    917   1254   2157   3079   3396   4152
    1024    917   1254   2162   3079   3396   4151
    4096    430    652   1269   1939   3046   4007
   16384    291    337    636    916   2170   1391
   65536    290    328    633    913   2161   1349
