    BusSpeed aarch64 native optimized Sun Oct 23 00:03:07 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   6191   4320   4759   4836   4849   5329
      32   1837   2165   3147   3977   4143   4597
      64    891   1242   2152   3103   3402   3772
     128    912   1238   2133   3128   3403   3775
     256    912   1233   2149   3125   3402   3776
     512    917   1243   2148   3127   3401   3778
    1024    910   1226   2124   3086   3363   3763
    4096    431    666   1276   1945   3066   3694
   16384    291    339    638    923   2174   2148
   65536    289    329    635    924   2163   1407
