
 ##########################################

From File /proc/cpuinfo
 Cannot open /proc/version


From File /proc/version


   Memory Reading Speed Test arm armv8.1-a optimized Sat Jan 30 02:06:11 2021
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    6977   6785   7965   7933   5506   5596  11302  11347  11221
      16    7146   6776   7989   7982   5503   5581  11545  11556  11556
      32    6757   6453   7155   7387   5225   5210  11558  11564  11549
      64    6043   5840   6581   6564   4838   4926  11531  11529  11482
     128    6121   5906   6592   6574   4961   5028   9408   9347   9143
     256    6179   5862   6576   6537   4981   5041   9104   9124   9134
     512    6185   5989   6669   6633   4988   5050   9008   9010   8948
    1024    4105   4129   4397   4460   3629   3728   8504   8481   8560
    2048    1838   1835   1803   1863   1795   1784   4319   4358   4385
    4096    1579   1573   1592   1605   1576   1578   1839   1845   1790
    8192    1568   1565   1568   1583   1570   1577   1707   1714   1721

                End of test Sat Jan 30 02:06:27 2021

