    BusSpeed aarch64 native optimized Fri Oct 14 23:19:13 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7718   7747   8516   8787   8808  36898
      32   8451   8471   8522   8809   8820  36740
      64   6834   6985   8668   8809   8815  35275
     128   2180   3901   6580   8798   8820  25923
     256   2186   3868   6642   8809   8818  26011
     512   1933   3367   6076   8724   8809  25609
    1024   1098   2203   4359   8484   8811  25397
    4096    530    799   1391   2344   4300  16777
   16384    602   1075   1957   3397   5951  13456
   65536    586   1025   1870   3289   5684  12558
