 ##########################################

   Memory Reading Speed Test aarch64 native optimized Fri Oct 14 23:43:50 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   16537  14789  14041  16563  14807  14811  34710  34290  34240
      16   16539  14810  14075  16554  14814  14816  34692  34528  34561
      32   16559  14822  14087  16570  14826  14828  34632  34543  34549
      64   16536  14749  14016  16546  14754  14757  34664  34708  34713
     128   16431  14681  13991  16486  14714  14719  31917  31932  31952
     256   16417  14666  13974  16496  14697  14727  30753  30906  30903
     512   14961  14550  13940  16245  14679  14681  30451  30521  30510
    1024   13883  13835  13385  15788  14437  14533  27402  27423  27346
    2048   13914  13391  12608  14990  13525  13444  18700  19968  20172
    4096   15385  14267  13220  14700  13366  13334  10644  14516  14691
    8192    9464  13026  12707  13910  13552  13567  12140  12505  12523

                End of test Fri Oct 14 23:44:08 2022

