    BusSpeed aarch64 cortexa76-a55 optimized Fri Oct 14 22:30:04 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7809   7816  14962  16537  16677  17195
      32   8518   8534  15093  16620  16720  17201
      64   6710   7044  12568  15450  16443  17130
     128   2177   3868   6612  10652  12776  16731
     256   2032   3585   6187  10106  12492  16609
     512   1547   2646   5065   9235  12380  16588
    1024   1153   2154   4274   8484  12734  16758
    4096    464    882   2487   3843   6972  12788
   16384    542    966   1743   3068   5623  10661
   65536    523    923   1681   3020   6774  12486
