MemTotal:       16100192 kB
MemFree:        14116572 kB
MemAvailable:   15761824 kB
Buffers:          124344 kB
Cached:          1553360 kB
SwapCached:            0 kB
Active:           339440 kB
Inactive:        1357752 kB
Active(anon):        752 kB
Inactive(anon):    36904 kB
Active(file):     338688 kB
Inactive(file):  1320848 kB
Unevictable:       25960 kB
Mlocked:           11560 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         45480 kB
Mapped:            49192 kB
Shmem:             15300 kB
KReclaimable:     146028 kB
Slab:             200824 kB
SReclaimable:     146028 kB
SUnreclaim:        54796 kB
KernelStack:        3504 kB
PageTables:         2156 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8050096 kB
Committed_AS:     225012 kB
VmallocTotal:   262930368 kB
VmallocUsed:        7052 kB
VmallocChunk:          0 kB
Percpu:             4096 kB
CmaTotal:         262144 kB
CmaFree:          252656 kB
