 ##########################################

   Memory Reading Speed Test aarch64 native optimized Fri Oct 14 22:56:15 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   50540  58609  60241  50775  54676  56207  34683  23402  22246
      16   50271  59401  59311  50591  55509  55600  33829  22924  22865
      32   47708  59966  59905  48331  55962  56013  34529  23212  23181
      64   46632  60184  60161  45928  56188  56208  34877  23354  23340
     128   30031  56679  57173  30074  55083  55057  32642  23362  23383
     256   29980  56327  56821  29982  54886  54893  32091  23304  23291
     512   29735  55728  56212  29655  54581  54595  32042  23242  23246
    1024   29613  54073  54441  29461  53617  52550  26844  22169  21571
    2048   25127  46274  46488  25134  45903  45607  17246  17126  17258
    4096    9296  23692  24081   9358  23814  24025   6780   6918   6975
    8192    5238  11770  31694  14718  31828  31995  11045  11049  11210

                End of test Fri Oct 14 22:56:30 2022

