    BusSpeed aarch64 cortexa76-a55 optimized Thu Oct 13 05:19:33 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7835   7847  15157  16692  16818  17272
      32   8564   8572  15202  16733  16839  17278
      64   6805   7084  12764  15718  16571  17204
     128   2190   3885   6639  10699  12833  16835
     256   2184   3958   6665  10665  12817  16860
     512   1677   2888   5451   9615  12552  16721
    1024   1124   2198   4374   8603  12792  16846
    4096    902   1627   3012   5293   9662  15783
   16384    673   1302   2459   4257   7854  14694
   65536    654   1264   2430   4321   7899  14698
