    BusSpeed aarch64 native optimized Thu Oct 13 05:20:03 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7814   7823  15121  16626  16770  17223
      32   8532   8547  15159  16658  16790  17228
      64   6785   7059  12691  15475  16470  17149
     128   2183   3880   6622  10666  12796  16786
     256   2100   3751   6462  10462  12673  16764
     512   1731   2901   5438   9753  12691  16783
    1024   1117   2207   4372   8655  12758  16812
    4096    909   1615   2994   5298   9628  15757
   16384    672   1301   2456   4266   7853  14689
   65536    654   1271   2445   4337   7946  14612
